,userID,date,UVExposureTime
139,USER2,2019-05-08,23:59:59
140,USER2,2019-05-09,23:59:59
141,USER2,2019-05-10,23:59:59
142,USER2,2019-05-11,23:59:59
143,USER2,2019-05-12,23:59:59
144,USER2,2019-05-13,23:59:59
145,USER2,2019-05-14,23:59:59
146,USER2,2019-05-16,10:00:24.946000
147,USER2,2019-05-19,11:34:34.497000
148,USER2,2019-05-22,12:04:06.832000
149,USER2,2019-05-08,23:59:59
150,USER2,2019-05-09,23:59:59
151,USER2,2019-05-10,23:59:59
152,USER2,2019-05-11,23:59:59
153,USER2,2019-05-12,23:59:59
154,USER2,2019-05-13,23:59:59
155,USER2,2019-05-14,23:59:59
156,USER2,2019-05-08,23:59:59
157,USER2,2019-05-09,23:59:59
158,USER2,2019-05-10,23:59:59
159,USER2,2019-05-11,23:59:59
160,USER2,2019-05-12,23:59:59
161,USER2,2019-05-13,23:59:59
162,USER2,2019-05-14,23:59:59
163,USER2,2019-05-22,11:42:45.330000
164,USER2,2019-05-08,23:59:59
165,USER2,2019-05-09,23:59:59
166,USER2,2019-05-10,23:59:59
167,USER2,2019-05-11,23:59:59
168,USER2,2019-05-12,23:59:59
169,USER2,2019-05-13,23:59:59
170,USER2,2019-05-14,23:59:59
171,USER2,2019-05-22,11:12:22.369000
172,USER2,2019-05-08,23:59:59
173,USER2,2019-05-09,23:59:59
174,USER2,2019-05-10,23:59:59
175,USER2,2019-05-11,23:59:59
176,USER2,2019-05-12,23:59:59
177,USER2,2019-05-13,23:59:59
178,USER2,2019-05-14,23:59:59
179,USER2,2019-05-21,12:01:09.499000
180,USER2,2019-05-08,23:59:59
181,USER2,2019-05-09,23:59:59
182,USER2,2019-05-10,23:59:59
183,USER2,2019-05-11,23:59:59
184,USER2,2019-05-12,23:59:59
185,USER2,2019-05-13,23:59:59
186,USER2,2019-05-14,23:59:59
187,USER2,2019-05-20,15:53:58.866000
188,USER2,2019-05-21,14:17:21.392000
189,USER2,2019-05-08,23:59:59
190,USER2,2019-05-09,23:59:59
191,USER2,2019-05-10,23:59:59
192,USER2,2019-05-11,23:59:59
193,USER2,2019-05-12,23:59:59
194,USER2,2019-05-13,23:59:59
195,USER2,2019-05-14,23:59:59
196,USER2,2019-05-21,14:56:50.224000
197,USER2,2019-05-22,13:48:40.426000
198,USER2,2019-05-08,23:59:59
199,USER2,2019-05-09,23:59:59
200,USER2,2019-05-10,23:59:59
201,USER2,2019-05-11,23:59:59
202,USER2,2019-05-12,23:59:59
203,USER2,2019-05-13,23:59:59
204,USER2,2019-05-14,23:59:59
205,USER2,2019-05-20,11:50:59.322000
206,USER2,2019-05-22,11:52:13.499000
207,USER2,2019-05-08,23:59:59
208,USER2,2019-05-09,23:59:59
209,USER2,2019-05-10,23:59:59
210,USER2,2019-05-11,23:59:59
211,USER2,2019-05-12,23:59:59
212,USER2,2019-05-13,23:59:59
213,USER2,2019-05-14,23:59:59
214,USER2,2019-05-08,23:59:59
215,USER2,2019-05-09,23:59:59
216,USER2,2019-05-10,23:59:59
217,USER2,2019-05-11,23:59:59
218,USER2,2019-05-12,23:59:59
219,USER2,2019-05-13,23:59:59
220,USER2,2019-05-14,23:59:59
221,USER2,2019-05-16,12:47:49.618000
222,USER2,2019-05-21,14:16:08.180000
223,USER2,2019-05-08,23:59:59
224,USER2,2019-05-09,23:59:59
225,USER2,2019-05-10,23:59:59
226,USER2,2019-05-11,23:59:59
227,USER2,2019-05-12,23:59:59
228,USER2,2019-05-13,23:59:59
229,USER2,2019-05-14,23:59:59
230,USER2,2019-05-19,12:18:38.425000
231,USER2,2019-05-22,11:01:02.309000
232,USER2,2019-05-08,23:59:59
233,USER2,2019-05-09,23:59:59
234,USER2,2019-05-10,23:59:59
235,USER2,2019-05-11,23:59:59
236,USER2,2019-05-12,23:59:59
237,USER2,2019-05-13,23:59:59
238,USER2,2019-05-14,23:59:59
239,USER2,2019-05-08,23:59:59
240,USER2,2019-05-09,23:59:59
241,USER2,2019-05-10,23:59:59
242,USER2,2019-05-11,23:59:59
243,USER2,2019-05-12,23:59:59
244,USER2,2019-05-13,23:59:59
245,USER2,2019-05-14,23:59:59
246,USER3,2019-05-01,14:17:13.991000
247,USER3,2019-05-08,23:59:59
248,USER3,2019-05-09,23:59:59
249,USER3,2019-05-10,23:59:59
250,USER3,2019-05-11,23:59:59
251,USER3,2019-05-12,23:59:59
252,USER3,2019-05-13,23:59:59
253,USER3,2019-05-14,23:59:59
254,USER3,2019-05-03,12:36:16.279000
255,USER3,2019-05-04,12:05:26.445000
256,USER3,2019-05-05,12:29:45.650000
257,USER3,2019-05-08,23:59:59
258,USER3,2019-05-09,23:59:59
259,USER3,2019-05-10,23:59:59
260,USER3,2019-05-11,23:59:59
261,USER3,2019-05-12,23:59:59
262,USER3,2019-05-13,23:59:59
263,USER3,2019-05-14,23:59:59
264,USER3,2019-05-02,11:49:00.661000
265,USER3,2019-05-08,23:59:59
266,USER3,2019-05-09,23:59:59
267,USER3,2019-05-10,23:59:59
268,USER3,2019-05-11,23:59:59
269,USER3,2019-05-12,23:59:59
270,USER3,2019-05-13,23:59:59
271,USER3,2019-05-14,23:59:59
272,USER3,2019-05-08,23:59:59
273,USER3,2019-05-09,23:59:59
274,USER3,2019-05-10,23:59:59
275,USER3,2019-05-11,23:59:59
276,USER3,2019-05-12,23:59:59
277,USER3,2019-05-13,23:59:59
278,USER3,2019-05-14,23:59:59
279,USER3,2019-05-05,12:15:48.216000
280,USER3,2019-05-08,23:59:59
281,USER3,2019-05-09,23:59:59
282,USER3,2019-05-10,23:59:59
283,USER3,2019-05-11,23:59:59
284,USER3,2019-05-12,23:59:59
285,USER3,2019-05-13,23:59:59
286,USER3,2019-05-14,23:59:59
287,USER3,2019-05-06,15:16:48.062000
288,USER3,2019-05-08,23:59:59
289,USER3,2019-05-09,23:59:59
290,USER3,2019-05-10,23:59:59
291,USER3,2019-05-11,23:59:59
292,USER3,2019-05-12,23:59:59
293,USER3,2019-05-13,23:59:59
294,USER3,2019-05-14,23:59:59
295,USER3,2019-05-08,23:59:59
296,USER3,2019-05-09,23:59:59
297,USER3,2019-05-10,23:59:59
298,USER3,2019-05-11,23:59:59
299,USER3,2019-05-12,23:59:59
300,USER3,2019-05-13,23:59:59
301,USER3,2019-05-14,23:59:59
302,USER3,2019-05-02,10:21:33.780000
303,USER3,2019-05-03,11:52:12.941000
304,USER3,2019-05-04,11:42:20.118000
305,USER3,2019-05-08,23:59:59
306,USER3,2019-05-09,23:59:59
307,USER3,2019-05-10,23:59:59
308,USER3,2019-05-11,23:59:59
309,USER3,2019-05-12,23:59:59
310,USER3,2019-05-13,23:59:59
311,USER3,2019-05-14,23:59:59
312,USER3,2019-05-02,16:00:15.306000
313,USER3,2019-05-04,13:19:03.085000
314,USER3,2019-05-08,23:59:59
315,USER3,2019-05-09,23:59:59
316,USER3,2019-05-10,23:59:59
317,USER3,2019-05-11,23:59:59
318,USER3,2019-05-12,23:59:59
319,USER3,2019-05-13,23:59:59
320,USER3,2019-05-14,23:59:59
321,USER3,2019-05-01,15:58:16.184000
322,USER3,2019-05-02,16:10:33.326000
323,USER3,2019-05-03,12:55:53.661000
324,USER3,2019-05-04,12:15:31.257000
325,USER3,2019-05-08,23:59:59
326,USER3,2019-05-09,23:59:59
327,USER3,2019-05-10,23:59:59
328,USER3,2019-05-11,23:59:59
329,USER3,2019-05-12,23:59:59
330,USER3,2019-05-13,23:59:59
331,USER3,2019-05-14,23:59:59
332,USER3,2019-05-08,23:59:59
333,USER3,2019-05-09,23:59:59
334,USER3,2019-05-10,23:59:59
335,USER3,2019-05-11,23:59:59
336,USER3,2019-05-12,23:59:59
337,USER3,2019-05-13,23:59:59
338,USER3,2019-05-14,23:59:59
339,USER3,2019-05-08,23:59:59
340,USER3,2019-05-09,23:59:59
341,USER3,2019-05-10,23:59:59
342,USER3,2019-05-11,23:59:59
343,USER3,2019-05-12,23:59:59
344,USER3,2019-05-13,23:59:59
345,USER3,2019-05-14,23:59:59
346,USER3,2019-05-05,13:49:20.824000
347,USER3,2019-05-06,12:51:49.136000
348,USER3,2019-05-08,23:59:59
349,USER3,2019-05-09,23:59:59
350,USER3,2019-05-10,23:59:59
351,USER3,2019-05-11,23:59:59
352,USER3,2019-05-12,23:59:59
353,USER3,2019-05-13,23:59:59
354,USER3,2019-05-14,23:59:59
355,USER3,2019-05-08,23:59:59
356,USER3,2019-05-09,23:59:59
357,USER3,2019-05-10,23:59:59
358,USER3,2019-05-11,23:59:59
359,USER3,2019-05-12,23:59:59
360,USER3,2019-05-13,23:59:59
361,USER3,2019-05-14,23:59:59
362,USER3,2019-05-02,14:21:47.540000
363,USER3,2019-05-08,23:59:59
364,USER3,2019-05-09,23:59:59
365,USER3,2019-05-10,23:59:59
366,USER3,2019-05-11,23:59:59
367,USER3,2019-05-12,23:59:59
368,USER3,2019-05-13,23:59:59
369,USER3,2019-05-14,23:59:59
370,USER3,2019-05-03,12:05:54.374000
371,USER3,2019-05-06,11:27:28.430000
372,USER3,2019-05-08,23:59:59
373,USER3,2019-05-09,23:59:59
