,timestamp,datetime,date,time,userID,appName,totalTimeForeground
0,1557282701960,2019-05-08 11:31:41.960,2019-05-08,11:31:41.960000,P0703,카카오톡,360853
0,1557359201960,2019-05-09 08:46:41.960,2019-05-09,08:46:41.960000,P0703,카카오톡,333803
0,1557364601960,2019-05-09 10:16:41.960,2019-05-09,10:16:41.960000,P0703,카카오톡,340623
0,1557447401960,2019-05-10 09:16:41.960,2019-05-10,09:16:41.960000,P0703,Instagram,414648
0,1557448301960,2019-05-10 09:31:41.960,2019-05-10,09:31:41.960000,P0703,Instagram,596355
0,1557448301960,2019-05-10 09:31:41.960,2019-05-10,09:31:41.960000,P0703,카카오톡,96745
0,1557449201960,2019-05-10 09:46:41.960,2019-05-10,09:46:41.960000,P0703,Instagram,636988
0,1557541001960,2019-05-11 11:16:41.960,2019-05-11,11:16:41.960000,P0703,카카오톡,53814
0,1557618701960,2019-05-12 08:51:41.960,2019-05-12,08:51:41.960000,P0703,카카오톡,43687
0,1557622301960,2019-05-12 09:51:41.960,2019-05-12,09:51:41.960000,P0703,카카오톡,57856
0,1557624101960,2019-05-12 10:21:41.960,2019-05-12,10:21:41.960000,P0703,카카오톡,75323
0,1557627701960,2019-05-12 11:21:41.960,2019-05-12,11:21:41.960000,P0703,카카오톡,86282
0,1557705101960,2019-05-13 08:51:41.960,2019-05-13,08:51:41.960000,P0703,카카오톡,24905
0,1557706901960,2019-05-13 09:21:41.960,2019-05-13,09:21:41.960000,P0703,카카오톡,104137
0,1557710501960,2019-05-13 10:21:41.960,2019-05-13,10:21:41.960000,P0703,카카오톡,508263
0,1557711401960,2019-05-13 10:36:41.960,2019-05-13,10:36:41.960000,P0703,카카오톡,533240
0,1557712301960,2019-05-13 10:51:41.960,2019-05-13,10:51:41.960000,P0703,카카오톡,868698
0,1557793001960,2019-05-14 09:16:41.960,2019-05-14,09:16:41.960000,P0703,카카오톡,147388
0,1557794801960,2019-05-14 09:46:41.960,2019-05-14,09:46:41.960000,P0703,카카오톡,227193
0,1557798401960,2019-05-14 10:46:41.960,2019-05-14,10:46:41.960000,P0703,카카오톡,334103
0,1557799301960,2019-05-14 11:01:41.960,2019-05-14,11:01:41.960000,P0703,카카오톡,628045
0,1557800201960,2019-05-14 11:16:41.960,2019-05-14,11:16:41.960000,P0703,카카오톡,721851
0,1557801101960,2019-05-14 11:31:41.960,2019-05-14,11:31:41.960000,P0703,카카오톡,906554
0,1557802001960,2019-05-14 11:46:41.960,2019-05-14,11:46:41.960000,P0703,카카오톡,1057994
0,1557273662821,2019-05-08 09:01:02.821,2019-05-08,09:01:02.821000,P0704,Instagram,1599961
0,1557273662821,2019-05-08 09:01:02.821,2019-05-08,09:01:02.821000,P0704,카카오톡,283011
0,1557274862821,2019-05-08 09:21:02.821,2019-05-08,09:21:02.821000,P0704,카카오톡,354964
0,1557275762821,2019-05-08 09:36:02.821,2019-05-08,09:36:02.821000,P0704,카카오톡,359348
0,1557279062821,2019-05-08 10:31:02.821,2019-05-08,10:31:02.821000,P0704,카카오톡,382855
0,1557282962821,2019-05-08 11:36:02.821,2019-05-08,11:36:02.821000,P0704,카카오톡,425956
0,1557283862821,2019-05-08 11:51:02.821,2019-05-08,11:51:02.821000,P0704,카카오톡,434587
0,1557354962821,2019-05-09 07:36:02.821,2019-05-09,07:36:02.821000,P0704,카카오톡,589944
0,1557357062821,2019-05-09 08:11:02.821,2019-05-09,08:11:02.821000,P0704,카카오톡,621782
0,1557359162821,2019-05-09 08:46:02.821,2019-05-09,08:46:02.821000,P0704,카카오톡,636105
0,1557360062821,2019-05-09 09:01:02.821,2019-05-09,09:01:02.821000,P0704,카카오톡,696399
0,1557361862821,2019-05-09 09:31:02.821,2019-05-09,09:31:02.821000,P0704,카카오톡,792536
0,1557362762821,2019-05-09 09:46:02.821,2019-05-09,09:46:02.821000,P0704,카카오톡,873095
0,1557363662821,2019-05-09 10:01:02.821,2019-05-09,10:01:02.821000,P0704,카카오톡,908950
0,1557364562821,2019-05-09 10:16:02.821,2019-05-09,10:16:02.821000,P0704,카카오톡,988411
0,1557365462821,2019-05-09 10:31:02.821,2019-05-09,10:31:02.821000,P0704,카카오톡,1016574
0,1557369062821,2019-05-09 11:31:02.821,2019-05-09,11:31:02.821000,P0704,카카오톡,1104361
0,1557369962821,2019-05-09 11:46:02.821,2019-05-09,11:46:02.821000,P0704,카카오톡,1171502
0,1557447962821,2019-05-10 09:26:02.821,2019-05-10,09:26:02.821000,P0704,카카오톡,140361
0,1557448862821,2019-05-10 09:41:02.821,2019-05-10,09:41:02.821000,P0704,카카오톡,149300
0,1557456062821,2019-05-10 11:41:02.821,2019-05-10,11:41:02.821000,P0704,카카오톡,217481
0,1557456962821,2019-05-10 11:56:02.821,2019-05-10,11:56:02.821000,P0704,카카오톡,315661
