,userID,date,studyTime
160,USER2,2019-05-14,0.0
161,USER2,2019-05-16,6399.112
162,USER2,2019-05-17,716.0
163,USER2,2019-05-19,7267.001
164,USER2,2019-05-20,335.743
165,USER2,2019-05-21,15289.999
166,USER2,2019-05-22,16389.064
167,USER2,2019-05-08,0.0
168,USER2,2019-05-09,0.0
169,USER2,2019-05-10,0.0
170,USER2,2019-05-11,0.0
171,USER2,2019-05-12,0.0
172,USER2,2019-05-13,0.0
173,USER2,2019-05-14,0.0
174,USER2,2019-05-17,1.0
175,USER2,2019-05-08,0.0
176,USER2,2019-05-09,0.0
177,USER2,2019-05-10,0.0
178,USER2,2019-05-11,0.0
179,USER2,2019-05-12,0.0
180,USER2,2019-05-13,0.0
181,USER2,2019-05-14,0.0
182,USER2,2019-05-16,286.492
183,USER2,2019-05-20,1028.417
184,USER2,2019-05-21,332.524
185,USER2,2019-05-22,72.479
186,USER2,2019-05-08,0.0
187,USER2,2019-05-09,0.0
188,USER2,2019-05-10,0.0
189,USER2,2019-05-11,0.0
190,USER2,2019-05-12,0.0
191,USER2,2019-05-13,0.0
192,USER2,2019-05-14,0.0
193,USER2,2019-05-18,0.0
194,USER2,2019-05-21,750.0
195,USER2,2019-05-08,0.0
196,USER2,2019-05-09,0.0
197,USER2,2019-05-10,0.0
198,USER2,2019-05-11,0.0
199,USER2,2019-05-12,0.0
200,USER2,2019-05-13,0.0
201,USER2,2019-05-14,0.0
202,USER2,2019-05-16,5135.0
203,USER2,2019-05-17,1.0
204,USER2,2019-05-19,8038.0
205,USER2,2019-05-20,407.953
206,USER2,2019-05-21,4701.118
207,USER2,2019-05-22,4418.132
208,USER2,2019-05-08,0.0
209,USER2,2019-05-09,0.0
210,USER2,2019-05-10,0.0
211,USER2,2019-05-11,0.0
212,USER2,2019-05-12,0.0
213,USER2,2019-05-13,0.0
214,USER2,2019-05-14,0.0
215,USER2,2019-05-08,0.0
216,USER2,2019-05-09,0.0
217,USER2,2019-05-10,0.0
218,USER2,2019-05-11,0.0
219,USER2,2019-05-12,0.0
220,USER2,2019-05-13,0.0
221,USER2,2019-05-14,0.0
222,USER2,2019-05-17,2194.227
223,USER2,2019-05-18,0.0
224,USER2,2019-05-20,18590.511
225,USER2,2019-05-21,12125.167
226,USER2,2019-05-22,20431.313
227,USER2,2019-05-08,0.0
228,USER2,2019-05-09,0.0
229,USER2,2019-05-10,0.0
230,USER2,2019-05-11,0.0
231,USER2,2019-05-12,0.0
232,USER2,2019-05-13,0.0
233,USER2,2019-05-14,0.0
234,USER2,2019-05-16,14056.0
235,USER2,2019-05-17,112.0
236,USER2,2019-05-18,113.0
237,USER2,2019-05-08,0.0
238,USER2,2019-05-09,0.0
239,USER2,2019-05-10,0.0
240,USER2,2019-05-11,0.0
241,USER2,2019-05-12,0.0
242,USER2,2019-05-13,0.0
243,USER2,2019-05-14,0.0
244,USER2,2019-05-18,3.0
245,USER2,2019-05-21,4541.001
246,USER2,2019-05-22,4.0
247,USER2,2019-05-08,0.0
248,USER2,2019-05-09,0.0
249,USER2,2019-05-10,0.0
250,USER2,2019-05-11,0.0
251,USER2,2019-05-12,0.0
252,USER2,2019-05-13,0.0
253,USER2,2019-05-14,0.0
254,USER2,2019-05-20,6341.999
255,USER2,2019-05-21,555.999
256,USER2,2019-05-08,0.0
257,USER2,2019-05-09,0.0
258,USER2,2019-05-10,0.0
259,USER2,2019-05-11,0.0
260,USER2,2019-05-12,0.0
261,USER2,2019-05-13,0.0
262,USER2,2019-05-14,0.0
263,USER2,2019-05-18,20.635
264,USER2,2019-05-20,10182.893
265,USER2,2019-05-21,0.0
266,USER2,2019-05-22,5446.64
267,USER2,2019-05-08,0.0
268,USER2,2019-05-09,0.0
269,USER2,2019-05-10,0.0
270,USER2,2019-05-11,0.0
271,USER2,2019-05-12,0.0
272,USER2,2019-05-13,0.0
273,USER2,2019-05-14,0.0
274,USER2,2019-05-16,1676.574
275,USER2,2019-05-17,0.0
276,USER2,2019-05-18,11695.036
277,USER2,2019-05-19,18622.777
278,USER2,2019-05-20,3304.34
279,USER2,2019-05-21,1405.606
280,USER2,2019-05-22,2524.396
281,USER3,2019-04-30,10612.107
282,USER3,2019-05-01,4722.769
